,NU_INSCRICAO,NU_NOTA_MT
0,73ff9fcc02f0a99919906c942c2e1a1042cdcf98,437.00929568628754
1,71a95f9f1b91a82c65ad94abbdf9f54e6066f968,432.67517062581754
2,b38a03232f43b11c9d0788abaf060f7366053b6d,584.1645393666192
4,715494628a50142ce8cb17191cfe6d0f3cae0934,538.657182691054
5,e656d6bad65c93fb2880f1eba5037008c8e75774,463.5224827708565
6,465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,538.6491483206494
7,11539e86171bf07d3a36f09377d7f54ebcc8406a,437.3411811359916
8,043c544a2104aa8a9849f1a703a08d37a2f16839,473.6661340725667
9,76ba050e64ad100b856f0eaabd8f539d5c7dd185,466.7294999345907
12,940aede382ccb332fab15d413217695ec44ca765,452.7865471894889
13,9ad714b116da76d878dd399d187fccc2dd13dd63,572.4470639698873
14,dd34464a4d780b12a089347ad580418ac57a3055,531.5983683774675
15,f837a4cb05a5fd59d20138182f5e8c721eadd584,465.58120912499913
19,051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,385.9966225754523
20,3d203727f27abd83b71732d88d8cb1cc099f363b,431.5922182179663
23,cbc301183dec912f3513ca766bf03dd565f3a38f,497.8789888355812
24,856aa14bcd11bd289a3b970aab0ce1b166f2c50f,638.7530409118647
25,11282da1ee78c8db45a041db4c744e33df489df0,427.8835181989373
26,03c67f683a415c2ea09b582248bd4cb08528c19d,586.6282327193794
27,046e844fb06a07ba30b41521f0065a8d9c6e5024,390.91306688423947
28,b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,455.08728080862215
31,f66c2e5ff22a95fa532e78c7c4bf1d145247211d,406.44921070648036
32,17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,564.3989433575487
33,fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,506.75579149669676
34,a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,546.5687884211393
35,f8d4f9a26c5f2023c33701a8888f9c02513a02c7,489.4731074147326
36,9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,461.2682874796324
37,59bfa081e020013410d9f60f91813964ba749bb2,434.3448276878032
38,f5e069ee3bc95998464e8ff5da048b7f999921ed,454.3181809824647
39,e02240b518016d03a1b5bcc6d0a37b7a527ea93d,610.6627907123179
40,664f44258212a1f7e4086f2b4845d586c543fa3f,491.7117209422291
41,265cd7befa74a9f2a198fc57baec9858075f8419,428.088590436022
42,6f9ac44919bbd204e0ef15185388fd2d4bc61253,516.6418529148218
43,78de1ee60b55766cc3eba4089e36c57139b66ebd,457.7748170027067
45,1e61a474acdc043eb39a89c17fab34bd2ea1a940,438.7875939216967
46,940af68ded6af2875708611051aa7ff3f134d80b,512.1385318870648
47,e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,494.0487876917553
48,c76ddf6e9f80984e901b12f9462a3cf029bea290,485.5051608002391
49,7d39df837488ca3fa6e512fd9e20ec7753b4c36d,456.2331993944778
52,92823d467a2ced9529801e0e8a94802dd88f0c17,444.40171225006475
53,9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,575.4200626014269
54,413cbb38b2e2522f8167ffb9daeac1347b281393,494.65656360389386
55,68985fad004092956a4b4ce94dd53dc76d07eaf7,496.7209312262759
56,bdca9aeb19521675af15f2c28d86f6bebc45a834,485.35510414910215
57,b65b19d42b7a4b644fe9f99366dcb37b120862d9,405.24359810528307
58,eda898aa8ec465cbac70de72ead0c6d688e5f95a,440.77599713621237
60,8d5c4481d736f6ce27976e400f4245bf10757608,419.2051311818083
65,c4cea54435c0fd0e171eed4c215479bb3ca86113,447.9472483442857
66,7d5cd89c6112b9a202a025a24355135bc60848c6,478.39599598131224
67,b70ab62384aa80545928a311f5b5d3db2f4d87ee,548.2259369622197
68,c96431dd924f366d2229a7f1455388b8cd85be49,579.6887348893415
71,dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,425.3400978081351
72,e724482370ae6126008ade80b564ad8d8a0a7cbd,470.144708285721
73,2ef4e2788e2f815f9a885c899f75d5dfeb234a02,605.1553493333502
75,e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,489.62140182498337
76,7f898f8939ae054359f83ee154bb91bc7dd2c959,561.628365140142
77,3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,480.0558887471628
78,82e3b12c6366008fabc238f299f117074e78de5d,401.5730563013319
79,0d838be0e718ceb786cdb10fcc12559e00440240,509.3518560621606
80,1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,476.4394193502202
82,c83fe640ba466ba904ac1055e53a875289888797,439.29340477618933
83,8855ae8971b9bd9b02c45a82c6c894a2e76ca542,474.1547322899757
84,a2945f1e7fbadac669590b7d9fafb6c900bca3d0,385.45425307452905
85,328639a0c753715c30a58bae70c82f2101153eb3,422.41135842702766
87,643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,542.4870763104816
88,f56746cc2900258507d2b32c126f8db090db856f,436.45601851591766
89,1a4963b5fea8bb25c67750cdafbe84b01efad177,417.4326981376605
90,b520c940e62f4ed684417e7eacf00d85752060da,487.34819646061635
91,2e170cf2651ed448991af6fc5df15167733b2d8f,506.3675825079628
92,6efdd93a0ae289be6bb5a400bfc1deb077d75886,408.5446289499056
93,72ac2acc787d8cba0934cca3810ac091d792c8db,510.129388637761
94,92a25eee14554806f081869cc9dac868fd1860fb,422.45998620996517
95,1f12a9b01eb9ef227a5482f498f3354bd485d9a3,413.2426507021785
96,acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,447.78636872321584
97,7ec2f787b9f57044bd98c0d4854f521c9f9ec635,543.5980754943275
98,e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,438.078728997758
100,b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,471.6891867400253
101,1a46d99716282410d1170f0f35069b34e34415d4,445.8846086156431
102,0467e022da4ef897f666bc76f31e1bc8976f7e92,484.4161730891202
103,993aca0d5eac6741117947c82a3647102096255e,474.9169812917571
104,94c96ade6ade21deb080bba6aad537fc4f195d47,490.34820946382155
105,36bb672077a46a3e4755cef90437a616d28bdf23,415.7955662406784
106,e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,403.48694349934283
107,328ca19128d276eb4fbc309c54ec7f346c803d2f,699.18759871103
108,27cdb62f0a2a5467efeb30aafbf246ed2320c532,393.73285544891706
110,f9ef2695eb0986666093945894b8f2fee351bf22,506.8178715888592
113,8a021391cdaac100dab56c59284bd50137a74129,551.3431818828919
115,b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,517.3525493011225
117,720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,467.27285054951324
119,b9f786712775e0d1d735398d710b01f404c985a3,395.82908137218647
120,564958997e204bda06fbe90afc4722805c78a855,579.4074124409801
121,36f38ea81d1305770cd5153f1e1667fe8a1eb47f,416.78174998754963
123,5a42c3f801e77d628649a6c34f3a4e5b80f232f7,483.97685841716316
124,8296743fdd105ce9183561cf5b359b0a3781465e,427.94238694506186
126,6602c7f15a1fdd082265b64976448c6809df792d,450.4971786625795
127,31ae66f0fe024acae4490915c348e487f2367574,529.4246206355942
128,81901aa980653106e64863d957387d24e2c00af3,417.8445535639403
129,28e10d1bd0b6effe0edd503446ebda948ad240ad,434.3297721877022
130,53a7ee52a87f80241e2ca13c923e06b72bf3a059,392.6209629462231
133,0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,589.8304929925569
135,02681b5c893b94db204713cb4b20dde6fc3f2f95,544.9290756038627
136,6ce4c0e0784b3881b36b3d1c047ac6ad121681da,407.0339176421315
138,28c6829e69879bc1d34db1cd51b89562d3cc596b,517.3021216494774
139,ecb9f0d7a261c9f27865ea22f2e643701f721eb6,472.1197151695785
141,923538833160e8432636c88e8119378a43b3d766,465.4391343557757
142,aacb834258765a2959ee63c57d2be4923d11a696,461.6354940683208
143,c32e484025571dd94255a77f21de08ab8d2aaba8,478.7047884909022
144,d425deeec0a3c7006f14d732eff8933d5155067f,486.63123585433357
145,f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,471.72789137437655
146,716a178e9a6f7791b820da77879943ac9040a547,444.27113312686834
147,430212cd8767ef2bff8cda0f61729203fef7523e,423.40578956491095
148,e97d33221238e445688a0e984778d4ecac788be2,513.8464278726476
150,4bc5712bdb9067b1814e969e71d5cdad59bb38d4,508.7199418852762
151,0411742cbb54fe1b6927b25f0bb52b885828c828,439.92717411251977
152,780505a9d5fc3c6da53686c0cc8bd871f4db00bc,397.4095557510157
154,e4e7a38b58319ad0a5cde4848622b21783c907e9,490.3497429030776
155,9c5a0a82074c75cb072752d71da42b9c6c27b0a3,572.9685755228622
156,aec1b63c3f0c9554e533752d8fe138ca82101d4a,449.37002027550216
157,4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,489.9202508004642
158,4b48d500ba4410546ce01f7f6d44bcbafa73994f,425.4804909757633
159,edf33c347c866d26872f540bcc1f6ae415f3294c,481.4842517062617
160,54f4e6037b9d1eb4a2a134306d37176787f1c1d3,521.968334551367
161,3a265ea6ebdc4eb2520db912adf5592f03b3d634,387.10440546203006
