,NU_INSCRICAO,NU_NOTA_MT
0,73ff9fcc02f0a99919906c942c2e1a1042cdcf98,436.24276139478366
1,71a95f9f1b91a82c65ad94abbdf9f54e6066f968,432.68419196089036
2,b38a03232f43b11c9d0788abaf060f7366053b6d,580.8150567726983
4,715494628a50142ce8cb17191cfe6d0f3cae0934,538.980399922064
5,e656d6bad65c93fb2880f1eba5037008c8e75774,463.84396756753125
6,465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,538.4765417620633
7,11539e86171bf07d3a36f09377d7f54ebcc8406a,436.1123815865768
8,043c544a2104aa8a9849f1a703a08d37a2f16839,474.3948291553558
9,76ba050e64ad100b856f0eaabd8f539d5c7dd185,466.7082196739309
12,940aede382ccb332fab15d413217695ec44ca765,452.2387276776224
13,9ad714b116da76d878dd399d187fccc2dd13dd63,571.1976204899096
14,dd34464a4d780b12a089347ad580418ac57a3055,531.0823529535367
15,f837a4cb05a5fd59d20138182f5e8c721eadd584,466.8506203043372
19,051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,385.8646822446091
20,3d203727f27abd83b71732d88d8cb1cc099f363b,433.31418312616904
23,cbc301183dec912f3513ca766bf03dd565f3a38f,496.1816471951207
24,856aa14bcd11bd289a3b970aab0ce1b166f2c50f,638.5444094213373
25,11282da1ee78c8db45a041db4c744e33df489df0,428.74568961449177
26,03c67f683a415c2ea09b582248bd4cb08528c19d,588.5133110361107
27,046e844fb06a07ba30b41521f0065a8d9c6e5024,391.28100819018005
28,b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,453.1027822460637
31,f66c2e5ff22a95fa532e78c7c4bf1d145247211d,405.0328748895801
32,17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,565.7353506119847
33,fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,507.2106527116647
34,a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,548.2748314249501
35,f8d4f9a26c5f2023c33701a8888f9c02513a02c7,489.40198335240154
36,9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,461.7087498025776
37,59bfa081e020013410d9f60f91813964ba749bb2,432.84468904186804
38,f5e069ee3bc95998464e8ff5da048b7f999921ed,454.578545435246
39,e02240b518016d03a1b5bcc6d0a37b7a527ea93d,609.9077322013079
40,664f44258212a1f7e4086f2b4845d586c543fa3f,491.5150443914092
41,265cd7befa74a9f2a198fc57baec9858075f8419,428.66684611075624
42,6f9ac44919bbd204e0ef15185388fd2d4bc61253,514.7153169592175
43,78de1ee60b55766cc3eba4089e36c57139b66ebd,457.4552919059448
45,1e61a474acdc043eb39a89c17fab34bd2ea1a940,438.4256159084353
46,940af68ded6af2875708611051aa7ff3f134d80b,513.2397753390618
47,e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,492.84578735063076
48,c76ddf6e9f80984e901b12f9462a3cf029bea290,485.9372901232817
49,7d39df837488ca3fa6e512fd9e20ec7753b4c36d,455.94089931353125
52,92823d467a2ced9529801e0e8a94802dd88f0c17,442.43108627607205
53,9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,576.2992433793022
54,413cbb38b2e2522f8167ffb9daeac1347b281393,494.6434701687285
55,68985fad004092956a4b4ce94dd53dc76d07eaf7,496.4857535525548
56,bdca9aeb19521675af15f2c28d86f6bebc45a834,486.0774549736997
57,b65b19d42b7a4b644fe9f99366dcb37b120862d9,409.3183113550209
58,eda898aa8ec465cbac70de72ead0c6d688e5f95a,442.6705362440633
60,8d5c4481d736f6ce27976e400f4245bf10757608,418.23090144328086
65,c4cea54435c0fd0e171eed4c215479bb3ca86113,447.5323336120286
66,7d5cd89c6112b9a202a025a24355135bc60848c6,476.9925548138036
67,b70ab62384aa80545928a311f5b5d3db2f4d87ee,548.8706318534031
68,c96431dd924f366d2229a7f1455388b8cd85be49,580.5743569471216
71,dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,425.36041402112266
72,e724482370ae6126008ade80b564ad8d8a0a7cbd,471.95063491059716
73,2ef4e2788e2f815f9a885c899f75d5dfeb234a02,605.692025358416
75,e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,489.0263451139788
76,7f898f8939ae054359f83ee154bb91bc7dd2c959,560.2243905704995
77,3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,480.020294107571
78,82e3b12c6366008fabc238f299f117074e78de5d,401.5749976145095
79,0d838be0e718ceb786cdb10fcc12559e00440240,509.93804145256433
80,1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,476.8176099818048
82,c83fe640ba466ba904ac1055e53a875289888797,438.96136416693685
83,8855ae8971b9bd9b02c45a82c6c894a2e76ca542,473.6573536843137
84,a2945f1e7fbadac669590b7d9fafb6c900bca3d0,386.9568393170325
85,328639a0c753715c30a58bae70c82f2101153eb3,419.0427304498308
87,643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,540.9217491984931
88,f56746cc2900258507d2b32c126f8db090db856f,437.86010433411775
89,1a4963b5fea8bb25c67750cdafbe84b01efad177,417.91654724832966
90,b520c940e62f4ed684417e7eacf00d85752060da,485.5428788649065
91,2e170cf2651ed448991af6fc5df15167733b2d8f,504.5327190016636
92,6efdd93a0ae289be6bb5a400bfc1deb077d75886,409.74877455123254
93,72ac2acc787d8cba0934cca3810ac091d792c8db,511.40603236775723
94,92a25eee14554806f081869cc9dac868fd1860fb,422.1017471932185
95,1f12a9b01eb9ef227a5482f498f3354bd485d9a3,412.4290338101792
96,acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,447.024887596632
97,7ec2f787b9f57044bd98c0d4854f521c9f9ec635,541.7986442288897
98,e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,438.0774872284538
