,NU_INSCRICAO,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
1,ed50e8aaa58e7a806c337585efee9ca41f1eb1ad,24,M,0,1,1,4,1,,436.3,495.4,581.2,399.4,120,120,120,80,80,520
2,2c3acac4b33ec2b195d77e7c04a2d75727fad723,17,F,0,3,2,0,2,1,474.5,544.1,599,459.8,140,120,120,120,80,580
3,f4545f8ccb9ff5c8aad7d32951b3f251a26e6568,21,F,0,3,3,0,1,,,,,,,,,,,
4,3d6ec248fef899c414e77f82d5c6d2bffbeaf7fe,25,F,0,0,1,9,1,,,,,,,,,,,
5,bf896ac8d3ecadd6dba1dfbf50110afcbf5d3268,28,M,0,2,1,4,1,,,,,,,,,,,
6,a37c99ec251d4f6e8ddbeabadf1c87fdbfddc4d1,18,F,0,1,1,1,1,,439.7,583.2,410.9,364.5,120,120,120,160,100,620
7,63b4e128e9ffe8ab27f5d093db1976ef4f353e0a,18,F,0,3,2,0,2,1,420.1,604.2,484.5,529.2,100,120,120,120,100,560
8,2eb189d4912f64b19d1967e8e84b6141aba18770,18,F,0,1,1,1,1,,619.6,625.8,611.2,566.7,140,120,120,120,120,620
9,5822cb43e0800429be2084b3f86a63aaa73fa66c,16,F,0,3,2,0,2,1,500.5,555.2,521.8,372.4,140,160,140,140,100,680
10,94f7e277f87cd58e10a45da4ad5dd168651cf3ef,24,M,0,4,4,0,1,,,,,,,,,,,
11,3c44449ad09dc6a72c77c3bd3b5fd06a6d3f66e8,29,F,0,3,1,8,1,,413.4,407.9,533.9,419.6,100,100,100,100,120,520
12,6f721ecb245bd74eaeda78b8d8135e8adeba6dc0,17,F,0,3,2,0,2,1,503.4,509.6,490.1,369.9,120,160,120,120,60,580
13,70b1dacb515d1aecead8a53cb465a70fda4b62b6,27,M,,3,1,7,1,,402.6,556.9,599,464.2,120,80,40,120,0,360
14,8570b9be0b2b629d00743d0de77cd95a84a46fbc,19,F,0,3,1,2,1,,,,,,,,,,,
15,67a173ad63a2a3f77c8905b49e83084b7c1cd6b0,18,M,0,3,1,2,1,,477.8,462.9,511.9,453.4,100,60,60,80,60,360
16,4e17008781ab3d721804ffe992884f86c37dcb4c,18,F,0,3,1,1,1,,,,,,,,,,,
17,6118b53a6c928609d5ec78f7b6ae463ee3f766e3,16,M,0,1,3,0,1,,561.8,640.8,596.5,480.4,160,160,160,160,80,720
18,036bce628d802e0da1fc727057dd40e979a03ac3,24,F,0,2,2,0,2,1,474.4,540,517.4,402.4,120,80,80,120,60,460
19,e2550a9dbfe4dfa31af61ab8cbdd08de283fd7ba,20,M,0,3,1,1,1,,395.5,425.2,569.5,475.8,100,120,80,100,120,520
20,fa8d39d295f07f351cbff175dcfe01a4cbb49ca3,21,F,1,3,4,0,1,,393.3,429.6,,,,,,,,
21,bedf9d4bf2c29669d24ef9ed9fa4bb6b8a2b574b,18,F,0,1,2,0,2,1,471.9,628,588.2,518,160,140,160,140,180,780
22,5458db66588b99384d711f24a5e77d2befb2bec9,24,M,0,3,1,4,1,,,,,,,,,,,
23,f2dda998a10d8f259dec0018a0a0aefafb66dcf7,24,M,0,1,1,6,1,,,,,,,,,,,
24,fe981a60436f1d9e533a28c67dd66c72290ce7c7,17,F,0,3,3,0,1,,,,,,,,,,,
25,f08085c95978cded4e8009e734772d2889c6ab1d,30,F,1,1,1,10,1,,,,,,,,,,,
26,2600ee9cbb63e8dc65423f18d2f33c8ad198edfe,18,F,0,3,1,1,1,,484.8,485.3,559.1,475.3,120,100,120,120,40,500
27,75182e8460c3cae7808fbe4c3475c15e232327dd,22,M,0,3,1,5,1,,,,,,,,,,,
28,9f1f0f639f56faed5cdb4db727692f9a49f7818b,19,M,0,3,2,0,2,3,473.2,439.1,472.8,430.8,120,80,80,80,40,400
29,45837167deb9a4e1969d5d9bdb31e8bfe7c94017,19,F,0,3,2,0,2,1,390.4,521.3,522.5,377.3,120,80,100,120,20,440
30,e1268d2857278d8ec8055524bc29cc16b5c4174f,21,M,1,3,1,4,1,,475.8,530,483.1,467.3,120,120,120,120,40,520
31,b6b8661c6a0867a13e83b584a0468d5e05804128,21,F,0,3,1,2,1,,413.6,522.3,530.1,553.9,160,160,160,160,140,780
32,3982766156703660bd7c9662b663d250a68f2734,17,F,0,3,2,0,2,1,510,560.2,424.6,394,160,160,140,160,100,720
33,b82b9c8e6d995692aedfad5a31c0c14cfcf108f1,19,M,0,1,2,0,2,1,440,477.2,470.5,415.5,120,120,100,120,140,600
34,3b096a7385fbcd24adb5e622db6ec33ad81b711c,17,F,0,3,2,0,2,1,430.6,544.2,402.9,427.3,140,120,120,140,100,620
35,ab01ff1e35bb088cda3ccb34ee11e718cf49961c,24,F,0,2,1,6,1,,449.7,485,518.5,508,120,120,120,120,40,520
36,91720b5fe48f70c5f4b21231f265badbb7965923,17,F,0,3,2,0,2,1,465.7,559.7,542.5,563.6,160,160,160,160,120,760
37,3f910c1717d215698a89b7774fae6aae9ce80a9b,18,F,0,1,2,0,2,1,477.3,554.3,441.9,383.2,100,80,80,80,80,420
38,51e2e191d63c9ce01f2474dfef6867d39bde0e22,17,F,,3,2,0,2,1,,,,,,,,,,
39,160449496c59d74d6efaed45b00fd1802d7b8fe0,15,M,0,3,3,0,1,,467.8,512.9,452.4,470,140,140,120,120,80,600
40,5c90f15a173eb63ffaff1dda01bb41959cea8ade,18,F,0,3,1,1,1,,407.8,559.8,479.3,435.4,140,120,120,120,140,640
41,642546ecc2ac60f7533a50e51b3ced50d438fa2a,24,F,0,3,1,8,1,,401.4,506.9,518,373.9,160,120,120,120,80,600
42,bcca1cc0d5b3005d943cd206eb899d1b0470d118,17,M,0,1,1,1,1,,448.9,639.2,604.4,542.4,160,140,140,140,140,720
43,80657dbe741b33c3b8aa6627ff05d721fc473535,18,F,0,3,2,0,2,1,373.4,518.4,521.8,405.7,120,120,80,120,40,480
44,c9fe095eda5d50f8fd64a9066f0c5cfc66b742d3,18,M,0,1,2,0,2,1,560.8,586.9,623,555.6,120,120,120,120,140,620
45,ce018e1ed8c91f329f952c59abec1059d15544fc,16,M,0,1,3,0,1,,593.9,549.4,603.1,539.7,120,120,80,120,40,480
46,15fb3ba785590aea2be363ee1b189f1e0c38d168,16,F,0,2,3,0,1,,498.2,619.9,515.7,390.3,140,120,120,120,120,620
47,36c49582ac87ab0169f57407a7030d012e19db0f,18,F,0,1,2,0,2,1,461.4,587.4,578.4,423.5,120,120,120,140,120,620
48,272b3de95fdc0983aa22bd9cffa178a3a362ae43,19,F,0,3,1,1,1,,524.5,581,586.5,471.1,120,120,120,120,120,600
49,0a90fb44346e04615bc4879b2769751e65740f7e,21,M,0,2,1,3,1,,412.6,396.3,443.2,354.6,80,80,60,60,40,320
50,45baf0018e09111593b980febba5122c6045203b,19,M,0,1,2,0,2,1,366.7,424.2,450.4,345.7,80,100,80,80,40,380
51,1495c703543bb33d4b2a3a38075e9102541d872d,18,F,0,2,3,0,1,,440.3,493.9,536.4,443.8,80,120,120,80,20,420
52,31640380bd530bb03092038113931fe88235552d,18,F,0,3,1,1,1,,,,,,,,,,,
53,99b9a595ef66afd906ff6cc1924b8aec91d569ac,18,F,0,1,1,1,1,,377.9,527.3,493.6,629.3,120,100,80,100,60,460
54,89b718d7a23461843c46a4e7e3b44bda0b0152bf,21,M,0,3,1,2,1,,595.1,565.7,577.4,393.6,100,120,120,120,100,560
55,2811fcc8205f513d44f523a753e74e6cc593a4f9,18,M,0,3,2,0,2,1,561.1,610.8,607.5,708.5,120,100,120,80,100,520
56,777bd9bcb30c7af5ee67f98072e572a304ad0042,40,M,0,3,1,10,1,,,,,,,,,,,
57,9061a9d12293f7a706455370a3c7db1093a86775,20,M,0,3,1,1,1,,384.5,512.4,527.4,371.8,120,120,120,100,100,560
58,74106591d629e3d8bae3a811a6340f7e31f56ff0,19,F,1,3,3,0,1,,419.9,467.9,387.4,378.7,140,120,120,120,100,600
59,2c28ebcabc43052f3029141fa6bec9bdef65dae6,18,F,0,1,1,1,1,,460.9,468,516.4,468.5,140,140,120,120,120,640
60,ccb11e219efb77f2d1f773e490e18204b743c531,25,M,0,3,1,3,1,,,,,,,,,,,
61,b7c29a61f67a7b11a811dd41db7f6cc18cee1082,19,F,0,1,1,1,1,,596.2,610.4,562.7,728.3,140,160,160,160,160,780
62,546520198f2a8f443f61687181896c7a91614265,17,M,0,3,2,0,2,1,443.8,470.9,503.5,434.2,80,80,40,80,80,360
63,00fad6ffd37a5fcd02b67623b5141406caf0ffc0,16,F,0,1,3,0,1,,493.5,504.1,431.9,414.1,120,100,80,120,80,500
64,3d45dffbb8f5c2535e2b46228dde95f0c5a4bc00,18,M,0,2,3,0,1,,482.2,590.8,604.4,457.8,120,60,40,80,60,360
65,79596e863089f8b7f26b24ea161920750fb9ad98,27,F,1,2,3,0,1,,,,,,,,,,,
66,42c347cc2d5a972008ab3fef158bec426fc32d22,16,F,0,3,2,0,3,1,446,518.9,530.2,370.8,140,140,120,120,120,640
67,1184e759ab3abac459311e19e2d4f1773bf1bd41,16,F,0,2,3,0,1,,437.3,449.1,521.7,412.4,120,120,80,120,60,500
68,f102d2cce60240d7c8cc8dcd7e819b81ed724c14,20,F,0,3,3,0,1,,,,,,,,,,,
69,d11f15d217391ddc98d0007cabc4c21f9438b55b,17,F,0,2,2,0,2,1,434.9,475.2,546.8,355.6,120,120,80,120,140,580
70,75863688688db57afb85d45f3a0f8359b4a3f256,23,M,1,3,1,5,1,,438.4,441.4,507,401.6,120,80,120,80,40,440
71,84d341e1ac9c010aa58f782766258ef3f097a6b7,18,M,0,3,1,1,1,,367.1,526.4,532,492.8,120,160,120,120,80,600
72,c0971b9328ab9ffaf2054856c98080d6070541ae,22,F,1,2,1,3,1,,393.9,492.3,517.3,407.6,120,80,60,100,60,420
73,a10aff56c82f1bcb0a43c0aca5061901f21a4dac,16,F,0,1,3,0,1,,414.3,534,524.5,513,120,120,120,140,100,600
74,a6905d20876982ff0006a442533a58cbb39da4c5,27,M,0,3,1,9,1,,477.9,484.2,489.7,604.9,140,100,80,100,80,500
75,48e9256e4da87667fae37924792e56e197a4dd88,37,F,1,1,1,10,1,,494.1,587.5,546.6,495.3,120,120,120,80,100,540
76,ad810c209e89e9b5e2080eefead70a0f0027c30c,17,M,0,3,2,0,2,1,391.1,570.4,511.2,397.3,100,40,80,80,60,360
77,b77d99ff8ee7781a40175b2e1e4dc011e63f1920,18,F,0,1,2,0,2,1,405.7,476.4,464.7,344.1,100,100,80,80,40,400
78,231c9a3c08249643f87ed59301e84e7605b2176f,17,M,0,3,2,0,2,1,443,521.8,526,397,120,100,120,120,80,540
79,dcdfc953208fe59ec5bd9288d5be4fa3300deb89,28,M,0,3,1,10,1,,,,,,,,,,,
80,4e1c0573b418b839469dab13754968982db53a10,23,F,0,4,1,5,1,,,,,,,,,,,
81,129d6daf0892c79c68c98ea20f8197645b21b221,18,F,0,3,1,1,1,,444.3,509.1,530.1,488.3,120,120,100,120,80,540
82,626eabd333cba14cb6c0c17b13cc2ab36f9070b4,22,M,,4,4,0,1,,,,,,,,,,,
83,d1aba323399aba7434327ab725bbc2d5682316bf,37,F,2,3,1,1,1,,401.8,487.6,444.6,363.1,100,100,100,120,140,560
84,6ce27caca885b1a612477f606ac8d4e98b90d8e5,17,M,0,3,2,0,2,1,,,,,,,,,,
85,272ee225651d10cf558d114ce37c5189da942a62,21,F,1,3,1,3,1,,457,538.6,555.2,418,160,140,120,120,120,660
86,4d288c96983da75bb8c3983063becbdb867ace89,32,M,1,3,1,9,1,,475.7,547.4,483.5,503,120,100,120,120,60,520
87,247c20a9befc204fb261300c33ea0cef3f1d0b7d,17,F,0,3,2,0,2,1,459.2,505.6,456,507.8,80,80,80,80,0,320
88,67a6a095cbc03868169ce24cd9f956d3b7d4d7de,38,F,1,1,1,10,1,,,,,,,,,,,
89,6169fb11c0c3d6cc7b51edc48b068f948389c40b,18,F,0,3,2,0,2,1,382.4,368.3,482,392.4,120,120,120,100,60,520
90,4ee9f9a4b868e701463ca030c0659e2e7935ffcf,25,F,0,2,1,5,1,,,,,,,,,,,
91,bad54913c91cb3f2993dea3652a90be28570a247,30,F,0,1,1,10,1,,460.7,505.8,448.2,351.3,0,0,0,0,0,0
92,473fac1a473fc1acbb11e9602f39b135a3c9d9aa,18,M,0,3,3,0,1,,462.8,524.6,498.6,418.9,140,120,80,120,60,520
93,28d46528baddeda8c5c1951536a238d791cfa9f8,18,M,0,3,2,0,2,1,431.1,431.7,467.8,413,0,0,0,0,0,0
94,6aea69cd043e47f99f5dc98264805ab85f0b6231,20,M,0,1,1,2,1,,413.1,541.7,564.2,421,80,100,80,100,80,440
95,9d7bf0f9c4eef2cee9f111baefe4e9fe17a8bdbd,26,M,1,1,1,6,1,,444.7,412.6,382.5,433.8,80,40,60,60,20,260
96,208e05b2a1bb30f66d509e5f53a8e126fecf8d6a,17,F,0,3,2,0,2,1,456.7,528.5,456.5,429,120,120,120,120,100,580
97,f02d83027c206dc62f6051b098fe57514a512648,18,M,0,1,1,1,1,,591.8,625.3,591.7,650,160,160,160,160,120,760
98,1a2b323760650526e617eee8e9b74f5accc8677f,42,F,1,1,1,10,1,,510,543.2,575.7,496.7,160,120,120,140,20,560
99,b385375f93bf3c8cd9c1c99d0f136b1d718aafaa,20,M,0,1,4,0,1,,435.5,557.9,530.3,487.8,120,80,80,60,40,380
100,da368ccf70b742a39fdaed13826c429a393b9b67,21,F,0,1,2,0,2,3,,,,,,,,,,
101,f46312530d2396d3e19b4f871c08c69af169e61e,19,F,0,1,1,3,1,,432.7,578.4,546.8,408.4,120,120,120,120,60,540
102,e57382b06163599199c713cc1547c331bba1a3c5,17,M,0,1,2,0,2,1,,,,,,,,,,
103,db3d90f89c29a36e60a2fa1f8312dff684a8c7ca,20,F,0,1,3,0,1,,383.1,566.5,404,380.7,140,160,120,120,80,620
104,6cf3b5ed0cc238c2187d949eb1b4448e980e3da8,19,F,0,2,1,2,1,,452.7,620.1,617.7,400,120,140,140,140,100,640
105,df1637272672a237c36430a25a3167cb50a28bbb,19,F,0,2,1,1,1,,,,,,,,,,,
106,a7f39916fea1e145dfede35799c94998938c7b50,22,F,0,2,1,5,1,,383.2,495.6,492.3,371.1,120,120,120,120,40,520
107,ec425f49307805a69a22c5e48a6f7b2375375b61,17,F,0,1,2,0,2,1,442.5,555.5,486,411.8,140,140,120,120,160,680
108,9dde22272c72904e4d722d23b2c0f98c59820691,17,M,0,3,2,0,2,1,390.1,577.9,455,575,120,120,120,120,120,600
109,61a7418ba4149a3d35cf82235c6d775a4167becb,17,F,0,1,2,0,2,1,471.8,535.9,555.5,408.6,160,140,120,140,120,680
110,693e5ddade1cea23d6f3bf9c19be79aa07c458a0,17,F,0,3,2,0,2,1,383.7,520.6,544.7,378.4,100,80,80,80,20,360
111,5d409df3b610ca98c29f339a2b9e48965f7dcdd1,19,M,,0,2,0,2,1,541.1,557.9,576.9,457.4,120,120,140,120,80,580
112,6698841b20a8b8109a62ad87c39b775f9587acd0,44,F,0,1,4,0,1,,0,0,0,0,0,0,0,0,0,0
113,5f7acabd799a730469eac13ddb8e05a0d8a84572,38,F,1,3,1,10,1,,519.3,564.3,,,,,,,,
114,a396d9225f5b48b7177827c0f09fc5285674599e,27,M,1,3,2,0,2,3,,,,,,,,,,
115,9f3154f46424b7847fcc22640b8de69c4db14ddc,17,F,0,1,3,0,1,,575.5,605.2,606.9,708.2,140,120,100,80,120,560
116,f0877a18e15982d733e9aeca82bbcb2a161917e8,18,F,0,1,2,0,2,1,454.2,433,485.2,445.3,120,120,80,120,80,520
117,aa16a27c710933541bedd77943eab6beb6218728,17,F,0,3,2,0,2,1,582.2,602.8,599.4,496.1,160,160,160,180,180,840
118,9ff200dba2915df2a66ef68e2705e8aa0d17ad24,19,F,0,3,1,1,1,,542.1,610.3,583.3,499.7,160,200,200,180,200,940
119,f17bbe8db9aa99451eeac1f52d580a35999d720e,17,F,0,2,3,0,1,,438.7,446.1,470.1,345.8,100,80,60,80,20,340
120,648f9db6808006abd9065a693ab8a8a512551892,21,M,0,3,1,3,1,,,,,,,,,,,
121,8fef04607c9db1028c9a958e49f3afb2e980c8e0,21,M,0,3,4,0,1,,,,,,,,,,,
122,dd0c57d54e154ae5c01ea4174f4dfe4990ffda07,26,F,1,3,1,9,1,,373.7,594.7,543,540.2,120,120,120,160,120,640
123,5c6dc7f8539bcc91ea9bbf131aac5bcd06292b85,34,M,1,3,1,10,1,,,,,,,,,,,
124,e61f329517670fdd3f308258e43c37fc12642e69,16,M,0,1,2,0,2,1,509.2,575.1,548.5,540.5,120,120,120,120,80,560
125,edb8ce295c9abc8a873f4424d995784b6ff58b0b,19,M,0,2,2,0,2,1,477.9,569.7,529.6,408.3,80,120,120,120,100,540
126,0c5e5107e61c051809c72a731f646ec08b424b93,27,F,0,3,1,9,1,,490.8,543.4,562.6,399.3,140,120,120,120,60,560
127,96e3f5d68c22f8e62852f1123856410d8f8e8e95,48,M,1,3,1,10,1,,,,,,,,,,,
128,2d3a37f2bafb703f74c57baf12d164e48a36e8ad,23,F,0,3,1,6,1,,,,,,,,,,,
129,e1511a8e927cc21c5b23587d397789491d1ad916,16,F,,3,3,0,1,,516.2,507.6,444.3,363.4,120,120,120,120,80,560
130,92282a1d27d299c7bfc377a814e7bd78c0ef3d32,17,F,0,3,2,0,2,1,455.6,587.1,574.1,538.3,120,120,120,160,160,680
131,062e3b1fa078e4925a3d4a459bfe966e8a9c768a,24,F,0,3,1,7,1,,,,,,,,,,,
132,1e8cf6295d7a2c1f1f7a8e654e7d0bb9942e20cb,20,F,0,3,1,3,1,,515.6,547.1,475.5,403.9,120,120,100,100,80,520
133,fb434bfad5c0db89bec493ee50c939fdb02d2f6e,34,F,0,3,1,10,1,,485.2,558.7,552.6,438.6,140,120,100,140,80,580
134,7bec1e065095abd13da928acd485ab71e5eabcfb,20,M,0,2,1,2,1,,469.5,479.9,455.6,437.1,120,120,120,120,40,520
135,a1619705b57c0be2f9408d4d1fc1db1f065ce13e,24,M,0,3,1,4,1,,483,514.2,424.5,443.3,120,100,100,100,80,500
136,bd9c2b0dbe1916a675895666caf69e0df9dd7b22,17,F,0,1,2,0,3,1,635.8,649.6,636.7,724.1,160,160,160,160,140,780
137,251e83c18a0d45019ffefab5461664ce84fbc4fb,15,M,0,1,3,0,1,,,,,,,,,,,
138,fce4c239420841dddad81c7b85712e1fd6fcd024,31,M,1,3,1,10,1,,,,,,,,,,,
139,d5133b425c6fbeba4173f47f18e6412666646ddd,19,F,0,3,1,1,1,,387,459.9,455.1,501.7,100,120,120,120,120,580
140,861e1d13ac4ee778ad76ff33a93f399004221278,20,F,0,3,2,0,2,1,429.8,568.9,570.6,626,100,80,100,100,20,400
141,b2e643a538180ab8bc1868a96a22d48d80c080dd,17,M,0,1,2,0,2,1,435.7,533.5,544.2,405.1,140,120,100,120,40,520
142,1b569248445c52edb114e326e66110018229b00d,52,F,1,1,1,10,1,,416.3,665.6,568.5,351.5,120,160,140,160,140,720
143,53f72aae18be71e50123aede98c2286902d40ef5,24,F,0,3,1,6,1,,398.6,479.7,495.8,433.2,100,100,100,120,100,520
