Região,Local,Gênero,"De que cor, ou raça, você se considera?",Idade,Naturalidade,Última cidade,Tempo na Cidade,Tempo de Rua,Escolaridade,Categorização,Caracterização,Tipo de Substância,Documentação,Tem Cadastro Único,Benefício Sócio-assistencial,Benefícios Previdenciários
Leste,Rua,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Fundamental Incompleto,Morador de Rua,,"Álcool, Tabaco",Sim,Não,,
Leste,Rua,Masculino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,6 Meses à 1 Ano,Ensino Médio Completo,Morador de Rua,NDA,Tabaco,Não,Não,,
Leste,Rua,Feminino,Parda,25 à 39 anos,Outro Estado,Outro Estado,1 à 3 Meses,1 à 3 Meses,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,Cocaína,Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,6 Meses à 1 Ano,6 Meses à 1 Ano,Não Alfabetizado,Morador de Mocó,Faz Uso de Substância Psicoativa,Crack,Não,Não,,
Leste,Rua,Masculino,Branca,40 à 49 anos,Outro Estado,Região Metropolitana de Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Médio Completo,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína",Sim,,Bolsa Família,
Leste,Rua,Masculino,Parda,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Maconha",Sim,Sim,Bolsa Família,
Norte,Rua,Masculino,,50 à 59 anos,,,,,,Morador de Mocó,Faz Uso de Substância Psicoativa,Crack,,,,
Noroeste,Rua,Masculino,Preta,40 à 49 anos,Outro Estado,Estado de São Paulo,6 Meses à 1 Ano,6 Meses à 1 Ano,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Crack,Não,Não,,
Norte,Rua,Masculino,Preta,40 à 49 anos,,,,,,Morador de Mocó,Faz Uso de Substância Psicoativa,Crack,,,,
Norte,Rua,Masculino,Preta,25 à 39 anos,Outro Estado,Outro Estado,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Sim,Não,,
Norte,Rua,Feminino,Preta,50 à 59 anos,Outro Estado,Outro Estado,Mais de 10 Anos,5 à 10 Anos,,Morador de Mocó,Faz Uso de Substância Psicoativa,Álcool,Sim,,Bolsa Família,
Leste,Rua,Feminino,Branca,25 à 39 anos,Estado de São Paulo,São Paulo - Capital,2 à 5 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Tabaco",Não,Não,,
Norte,Rua,Masculino,,40 à 49 anos,,,,,,Morador de Rua,Faz Uso de Substância Psicoativa,Crack,,,,
Norte,Rua,Feminino,Preta,40 à 49 anos,Outro Estado,Outro Estado,Mais de 10 Anos,Mais de 10 Anos,Não Alfabetizado,Morador de Mocó,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Não,Não,,
Leste,Rua,Feminino,Parda,40 à 49 anos,São Paulo - Capital,Campinas,6 Meses à 1 Ano,3 à 6 Meses,Ensino Médio Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Tabaco,Sim,Sim,,
Norte,Rua,Feminino,Branca,50 à 59 anos,,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Superior Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Cocaína",Sim,,BPC,
Leste,Rua,Masculino,Parda,25 à 39 anos,Outro Estado,Região Metropolitana de Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Cocaína",Sim,Sim,,
Norte,Rua,Feminino,Preta,25 à 39 anos,Campinas,Campinas,3 à 6 Meses,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Tabaco",Sim,,,
Norte,Rua,Masculino,,,,,2 à 5 Anos,,,Morador de Rua,,,,,,
Sul,Rua,Masculino,Parda,25 à 39 anos,Campinas,Estado de São Paulo,5 à 10 Anos,1 à 2 Anos,Ensino Fundamental Completo,Morador de Rua,,Tabaco,Sim,Sim,Bolsa Família,
Sul,Rua,Feminino,Branca,40 à 49 anos,Outro Estado,Outro Estado,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,,"Crack, Álcool, Tabaco",Sim,Sim,Bolsa Família,
Sul,Rua,Masculino,Parda,25 à 39 anos,Campinas,Região Metropolitana de Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Munícipe,,"Crack, Maconha, Cocaína",Sim,Não,,
Sul,Rua,Masculino,Parda,40 à 49 anos,Outro Estado,Estado de São Paulo,5 à 10 Anos,5 à 10 Anos,Ensino Superior Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Crack,Não,Sim,,
Sul,Rua,Feminino,,50 à 59 anos,Campinas,Outro Estado,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína",,Sim,,
Sul,Rua,Masculino,Preta,,Campinas,Campinas,Mais de 10 Anos,,Ensino Fundamental Completo,Emergencial Rua,Faz Uso de Substância Psicoativa,Maconha,Sim,Não,,
Sul,Rua,Masculino,Branca,50 à 59 anos,Outro Estado,,Mais de 10 Anos,1 à 3 Meses,Ensino Fundamental Completo,Migrante,Faz Uso de Substância Psicoativa,Crack,Sim,,Bolsa Família,
Sul,Rua,Masculino,Parda,25 à 39 anos,Estado de São Paulo,São Paulo - Capital,2 à 5 Anos,,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Cocaína",Não,Não,,
Sul,Rua,Masculino,Branca,25 à 39 anos,,,5 à 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína",Sim,Não,,
